날짜,종가,거래량,변동률(%),상승 여부,감성점수
2023-03-02,60800,13095682,0.0,0,0.55
2023-03-03,60500,10711405,-0.49,0,0.27
2023-03-06,61500,13630602,1.65,1,0.5
2023-03-07,60700,11473280,-1.3,0,0.16
2023-03-08,60300,14161857,-0.66,0,-0.01
2023-03-09,60100,14334499,-0.33,0,0.44
2023-03-10,59500,11902471,-1.0,0,-0.09
2023-03-13,60000,12779724,0.84,1,0.37
2023-03-14,59000,12147346,-1.67,0,0.32
2023-03-15,59800,10482149,1.36,1,0.24
2023-03-16,59900,10611939,0.17,1,0.52
2023-03-17,61300,14090110,2.34,1,0.35
2023-03-20,60200,9618009,-1.79,0,-0.01
2023-03-21,60300,8318514,0.17,1,0.42
2023-03-22,61100,8978591,1.33,1,0.4
2023-03-23,62300,15381057,1.96,1,0.46
2023-03-24,63000,18278602,1.12,1,0.36
2023-03-27,62100,11039331,-1.43,0,0.38
2023-03-28,62900,11614118,1.29,1,0.4
2023-03-29,62700,11216008,-0.32,0,0.57
2023-03-30,63200,15684377,0.8,1,0.48
2023-03-31,64000,14094479,1.27,1,0.29
2023-04-03,63100,11973133,-1.41,0,-0.06
2023-04-04,63600,11120514,0.79,1,0.36
2023-04-05,63900,9176149,0.47,1,0.43
2023-04-06,62300,14992747,-2.5,0,0.61
2023-04-07,65000,27476120,4.33,1,-0.58
2023-04-10,65700,18777166,1.08,1,0.68
2023-04-11,65900,16323183,0.3,1,0.38
2023-04-12,66000,15021313,0.15,1,0.35
2023-04-13,66100,15091022,0.15,1,0.07
2023-04-14,65100,16176490,-1.51,0,0.26
2023-04-17,65300,13486618,0.31,1,-0.06
2023-04-18,65600,14802060,0.46,1,0.28
2023-04-19,65500,10255985,-0.15,0,0.65
2023-04-20,65300,9501169,-0.31,0,0.51
2023-04-21,65700,10538622,0.61,1,-0.51
2023-04-24,65200,12986581,-0.76,0,-0.35
2023-04-25,63600,16193271,-2.45,0,0.3
2023-04-26,64100,12664541,0.79,1,0.49
2023-04-27,64600,14779601,0.78,1,-0.56
2023-04-28,65500,19699481,1.39,1,0.09
2023-05-02,65700,14396948,0.31,1,-0.07
2023-05-03,65400,8876749,-0.46,0,0.09
2023-05-04,65100,9791064,-0.46,0,0.1
2023-05-08,65900,9405365,1.23,1,0.01
2023-05-09,65300,9366861,-0.91,0,0.06
2023-05-10,64600,13057727,-1.07,0,0.31
2023-05-11,64200,11648905,-0.62,0,0.55
2023-05-12,64100,8693913,-0.16,0,0.57
2023-05-15,64500,8172021,0.62,1,0.47
2023-05-16,65400,12334657,1.4,1,0.71
2023-05-17,65000,10745504,-0.61,0,-0.49
2023-05-18,66200,14431704,1.85,1,0.66
2023-05-19,68400,20349345,3.32,1,0.52
2023-05-22,68500,14470308,0.15,1,0.07
2023-05-23,68400,8561643,-0.15,0,0.36
2023-05-24,68500,8192896,0.15,1,0.5
2023-05-25,68800,14231160,0.44,1,0.62
2023-05-26,70300,19549511,2.18,1,0.41
2023-05-30,72300,27476897,2.84,1,0.69
2023-05-31,71400,25666087,-1.24,0,0.46
2023-06-01,70900,14669296,-0.7,0,0.2
2023-06-02,72200,12161798,1.83,1,0.12
2023-06-05,71700,12686829,-0.69,0,0.43
2023-06-07,71000,14796613,-0.98,0,0.73
2023-06-08,70900,19165568,-0.14,0,0.28
2023-06-09,72000,15050209,1.55,1,0.33
2023-06-12,71000,12064287,-1.39,0,-0.16
2023-06-13,72000,13227285,1.41,1,0.1
2023-06-14,71900,12541046,-0.14,0,0.51
2023-06-15,71500,13614994,-0.56,0,0.59
2023-06-16,71800,15373696,0.42,1,0.22
2023-06-19,71200,11100887,-0.84,0,0.37
2023-06-20,71400,11557883,0.28,1,0.2
2023-06-21,70500,10626603,-1.26,0,0.5
2023-06-22,71300,11411007,1.13,1,0.15
2023-06-23,71600,12329484,0.42,1,0.34
2023-06-26,72400,10541901,1.12,1,0.59
2023-06-27,72600,9442997,0.28,1,0.26
2023-06-28,72700,8783093,0.14,1,0.06
2023-06-29,72400,12229967,-0.41,0,0.51
2023-06-30,72200,11694765,-0.28,0,0.16
2023-07-03,73000,10722181,1.11,1,0.03
2023-07-04,73000,10214350,0.0,0,0.52
2023-07-05,72000,12310610,-1.37,0,-0.29
2023-07-06,71600,14777667,-0.56,0,0.44
2023-07-07,69900,17308877,-2.37,0,0.0
2023-07-10,69500,11713926,-0.57,0,0.5
2023-07-11,71500,12177392,2.88,1,0.58
2023-07-12,71900,10375581,0.56,1,0.2
2023-07-13,71900,14417279,0.0,0,0.84
2023-07-14,73400,15882519,2.09,1,0.15
2023-07-17,73300,10060049,-0.14,0,0.02
2023-07-18,72000,11697900,-1.77,0,0.09
2023-07-19,71700,10896412,-0.42,0,0.6
2023-07-20,71000,9732730,-0.98,0,0.57
2023-07-21,70300,16528926,-0.99,0,-0.22
2023-07-24,70400,13418597,0.14,1,0.1
2023-07-25,70000,14314945,-0.57,0,0.21
2023-07-26,69800,30016221,-0.29,0,0.47
2023-07-27,71700,24261179,2.72,1,-0.28
2023-07-28,70600,19420683,-1.53,0,0.13
2023-07-31,69800,13035420,-1.13,0,0.37
2023-08-01,71100,12299254,1.86,1,0.33
2023-08-02,69900,13835020,-1.69,0,0.29
2023-08-03,68800,20087090,-1.57,0,0.33
2023-08-04,68300,12360193,-0.73,0,0.09
2023-08-07,68500,10968505,0.29,1,0.08
2023-08-08,67600,14664709,-1.31,0,0.49
2023-08-09,68900,17259673,1.92,1,0.35
2023-08-10,68000,10227311,-1.31,0,0.06
2023-08-11,67500,9781038,-0.74,0,0.43
2023-08-14,67300,9352343,-0.3,0,0.1
2023-08-16,67000,13174578,-0.45,0,0.4
2023-08-17,66700,10778652,-0.45,0,0.24
2023-08-18,66300,11745006,-0.6,0,0.02
2023-08-21,66600,9720067,0.45,1,0.62
2023-08-22,66600,10500242,0.0,0,0.42
2023-08-23,67100,9549352,0.75,1,0.75
2023-08-24,68200,15044463,1.64,1,0.8
2023-08-25,67100,7032462,-1.61,0,-0.02
2023-08-28,66800,5824628,-0.45,0,0.18
2023-08-29,66800,9114352,0.0,0,0.63
2023-08-30,67100,9181223,0.45,1,0.29
2023-08-31,66900,15964630,-0.3,0,0.41
2023-09-01,71000,29738235,6.13,1,0.66
2023-09-04,71200,26286495,0.28,1,0.65
2023-09-05,70700,12330239,-0.7,0,0.47
2023-09-06,70000,11414620,-0.99,0,0.25
2023-09-07,70400,13741241,0.57,1,0.39
2023-09-08,70300,10688118,-0.14,0,0.54
2023-09-11,70800,11785462,0.71,1,-0.04
2023-09-12,70500,11688599,-0.42,0,0.37
2023-09-13,70900,15955797,0.57,1,0.28
2023-09-14,71700,21041407,1.13,1,0.4
2023-09-15,72000,17823512,0.42,1,0.4
2023-09-18,70200,16040727,-2.5,0,0.6
2023-09-19,69800,11820188,-0.57,0,0.15
2023-09-20,69600,10873015,-0.29,0,0.35
