날짜,종가,거래량,변동률(%)
2023.03.02,"    60,800","     13,095,682",   0.0%
2023.03.03,"    60,500","     10,711,405", -0.49%
2023.03.06,"    61,500","     13,630,602",  1.65%
2023.03.07,"    60,700","     11,473,280",  -1.3%
2023.03.08,"    60,300","     14,161,857", -0.66%
2023.03.09,"    60,100","     14,334,499", -0.33%
2023.03.10,"    59,500","     11,902,471",  -1.0%
2023.03.13,"    60,000","     12,779,724",  0.84%
2023.03.14,"    59,000","     12,147,346", -1.67%
2023.03.15,"    59,800","     10,482,149",  1.36%
2023.03.16,"    59,900","     10,611,939",  0.17%
2023.03.17,"    61,300","     14,090,110",  2.34%
2023.03.20,"    60,200","      9,618,009", -1.79%
2023.03.21,"    60,300","      8,318,514",  0.17%
2023.03.22,"    61,100","      8,978,591",  1.33%
2023.03.23,"    62,300","     15,381,057",  1.96%
2023.03.24,"    63,000","     18,278,602",  1.12%
2023.03.27,"    62,100","     11,039,331", -1.43%
2023.03.28,"    62,900","     11,614,118",  1.29%
2023.03.29,"    62,700","     11,216,008", -0.32%
2023.03.30,"    63,200","     15,684,377",   0.8%
2023.03.31,"    64,000","     14,094,479",  1.27%
2023.04.03,"    63,100","     11,973,133", -1.41%
2023.04.04,"    63,600","     11,120,514",  0.79%
2023.04.05,"    63,900","      9,176,149",  0.47%
2023.04.06,"    62,300","     14,992,747",  -2.5%
2023.04.07,"    65,000","     27,476,120",  4.33%
2023.04.10,"    65,700","     18,777,166",  1.08%
2023.04.11,"    65,900","     16,323,183",   0.3%
2023.04.12,"    66,000","     15,021,313",  0.15%
2023.04.13,"    66,100","     15,091,022",  0.15%
2023.04.14,"    65,100","     16,176,490", -1.51%
2023.04.17,"    65,300","     13,486,618",  0.31%
2023.04.18,"    65,600","     14,802,060",  0.46%
2023.04.19,"    65,500","     10,255,985", -0.15%
2023.04.20,"    65,300","      9,501,169", -0.31%
2023.04.21,"    65,700","     10,538,622",  0.61%
2023.04.24,"    65,200","     12,986,581", -0.76%
2023.04.25,"    63,600","     16,193,271", -2.45%
2023.04.26,"    64,100","     12,664,541",  0.79%
2023.04.27,"    64,600","     14,779,601",  0.78%
2023.04.28,"    65,500","     19,699,481",  1.39%
2023.05.02,"    65,700","     14,396,948",  0.31%
2023.05.03,"    65,400","      8,876,749", -0.46%
2023.05.04,"    65,100","      9,791,064", -0.46%
2023.05.08,"    65,900","      9,405,365",  1.23%
2023.05.09,"    65,300","      9,366,861", -0.91%
2023.05.10,"    64,600","     13,057,727", -1.07%
2023.05.11,"    64,200","     11,648,905", -0.62%
2023.05.12,"    64,100","      8,693,913", -0.16%
2023.05.15,"    64,500","      8,172,021",  0.62%
2023.05.16,"    65,400","     12,334,657",   1.4%
2023.05.17,"    65,000","     10,745,504", -0.61%
2023.05.18,"    66,200","     14,431,704",  1.85%
2023.05.19,"    68,400","     20,349,345",  3.32%
2023.05.22,"    68,500","     14,470,308",  0.15%
2023.05.23,"    68,400","      8,561,643", -0.15%
2023.05.24,"    68,500","      8,192,896",  0.15%
2023.05.25,"    68,800","     14,231,160",  0.44%
2023.05.26,"    70,300","     19,549,511",  2.18%
2023.05.30,"    72,300","     27,476,897",  2.84%
2023.05.31,"    71,400","     25,666,087", -1.24%
2023.06.01,"    70,900","     14,669,296",  -0.7%
2023.06.02,"    72,200","     12,161,798",  1.83%
2023.06.05,"    71,700","     12,686,829", -0.69%
2023.06.07,"    71,000","     14,796,613", -0.98%
2023.06.08,"    70,900","     19,165,568", -0.14%
2023.06.09,"    72,000","     15,050,209",  1.55%
2023.06.12,"    71,000","     12,064,287", -1.39%
2023.06.13,"    72,000","     13,227,285",  1.41%
2023.06.14,"    71,900","     12,541,046", -0.14%
2023.06.15,"    71,500","     13,614,994", -0.56%
2023.06.16,"    71,800","     15,373,696",  0.42%
2023.06.19,"    71,200","     11,100,887", -0.84%
2023.06.20,"    71,400","     11,557,883",  0.28%
2023.06.21,"    70,500","     10,626,603", -1.26%
2023.06.22,"    71,300","     11,411,007",  1.13%
2023.06.23,"    71,600","     12,329,484",  0.42%
2023.06.26,"    72,400","     10,541,901",  1.12%
